SpeciesID,Sensitive,Kingdom,Phylum,Class,Order,Family,InformalTaxonomicGroup,TaxonomicLevel,ScientificName,CommonName_EN,CommonName_FR,Subspecies_EN,Subspecies_FR,Population_EN,Population_FR,BirdAlphaCode,BCSpeciesID,WDKBASpecRecID,IUCNTaxonID,IUCNAssessmentID,IUCNStatusID,IUCNStatusCriteria,IUCNAssessmentDate,IUCNPopulationTrend,IUCNLink,COSEWICTaxonID,COSEWICStatusID,COSEWICStatusCriteria,COSEWICAssessmentDate,SARAStatus,SARAAssessmentDate,COSEWICLink,NSElementCode,NSGlobalUniqueID,NSElementGlobalID,NSGRank,NSGRankReviewDate,NSNRank,NSNRankReviewDate,NSLink,Systems,Endemism,Range,Range_EN,Range_FR,GlobalPopulationSize,ContinentalPopulationSize,NationalPopulationSize,CitationGlobalPopulation,CitationContinentalPopulation,CitationNationalPopulation,NationalTrend,CitationNationalTrend,cosewic,iunc,sites
116,,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Invertebrates,Subspecies,"Erebia youngi herscheli","Four-dotted Alpine",,"herscheli subspecies",,,,,,,,,7,,,,,,6,,,,,,IILEPN8082,ELEMENT_GLOBAL.2.735434,735434,G5T2T3,2015-07-16,N2N3,2015-07-16,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.735434,Terrestrial,P,YT,Yukon,Yukon,,,,,,,,,"Not Assessed","Not Evaluated (NE)","YK005, "
166,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Invertebrates,Subspecies,"Cicindela formosa gibsoni","Gibson’s Big Sand Tiger Beetle","Cicindèle à grandes taches de Gibson",,,,,,,,,,7,,,,,1200,2,E,2012-11-25,Threatened/Menacée,2018-02-02,,IICOL02043,ELEMENT_GLOBAL.2.112400,112400,G5T3,2021-11-12,N3,2021-11-05,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112400,Terrestrial,N,"AB, SK","Alberta, Saskatchewan","Alberta, Saskatchewan",,,,,,,,,Threatened,"Not Evaluated (NE)","SK133, "
126,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Invertebrates,Species,"Schinia avemensis","Gold-edged Gem Moth","Héliotin d'Aweme",,,,,,,,,,7,,,,,939,1,"B2ab(ii,iii)",2016-11-27,"Endangered/En voie de disparition",2007-12-13,https://species-registry.canada.ca/index-en.html#/species/939-628,IILEYMP180,ELEMENT_GLOBAL.2.114751,114751,G1G3,2006-05-15,N2,2023-12-27,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114751,Terrestrial,N,"AB, MB, SK","Alberta, Manitoba, Saskatchewan","Alberta, Manitoba, Saskatchewan",,,,,,,,,Endangered,"Not Evaluated (NE)","SK130, SK131, SK132, AB133, SK134, "
133,,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Invertebrates,Species,"Somatochlora hineana","Hine's Emerald","Cordulie de Hine",,,,,,,,20342,129856416,5,,2018-06-08,Stable,https://www.iucnredlist.org/species/20342/129856416,1145,1,B1ab(iii)+2ab(iii),2011-05-06,"Endangered/En voie de disparition",2017-06-02,https://species-registry.canada.ca/index-en.html#/species/1145-795,IIODO32110,ELEMENT_GLOBAL.2.115545,115545,G2G3,2016-08-02,N1,2022-09-18,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115545,Freshwater,N,ON,Ontario,Ontario,,,,,,,,,Endangered,"Least Concern (LC)","ON179, "
258,,Animalia,Mollusca,Gastropoda,Basommatophora,Physidae,Invertebrates,Species,"Physella wrighti","Hotwater Physa","Physe d'eau chaude",,,,,,,,69624623,69633133,1,"B2ab(iii,v)",2015-04-10,Stable,https://www.iucnredlist.org/species/69624623/69633133,548,1,B1ac(iv)+2ac(iv),2008-04-25,"Endangered/En voie de disparition",2003-06-05,https://species-registry.canada.ca/index-en.html#/species/548-224,IMGASM0330,ELEMENT_GLOBAL.2.116672,116672,G1,2024-05-24,N1,2020-02-19,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116672,Freshwater,Y,BC,"British Columbia",Colombie-Britannique,,,,,,,,,Endangered,"Critically Endangered (CR)","BC307, "
107,,Animalia,Arthropoda,Insecta,Coleoptera,Haliplidae,Invertebrates,Species,"Brychius hungerfordi","Hungerford's Crawling Water Beetle","Haliple de Hungerford;  Haliplide de Hungerford",,,,,,,,,,7,,,,,1146,1,B1ab(iii)+2ab(iii),2011-05-06,"Endangered/En voie de disparition",2017-06-02,https://species-registry.canada.ca/index-en.html#/species/1146-797,IICOL5M010,ELEMENT_GLOBAL.2.114212,114212,G2,2022-11-14,N1,2022-09-16,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114212,Freshwater,N,ON,Ontario,Ontario,,,,,,,,,Endangered,"Not Evaluated (NE)","ON173, "
173,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,Species,"Ptychobranchus fasciolaris",Kidneyshell,"Ptychobranche réniforme",,,,,,,,18824,62905619,4,,2015-06-19,Decreasing,https://www.iucnredlist.org/species/18824/62905619,774,1,"B1ab(iii,iv)+2ab(iii,iv)",2013-05-03,"Endangered/En voie de disparition",2005-01-12,https://species-registry.canada.ca/index-en.html#/species/774-306,IMBIV38010,ELEMENT_GLOBAL.2.109882,109882,G4G5,2024-07-03,N1,2022-09-18,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109882,Freshwater,N,ON,Ontario,Ontario,,,,,,,,,Endangered,"Near Threatened (NT)","ON188, ON189, "
112,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Invertebrates,Species,"Trimerotropis huroniana","Lake Huron Grasshopper","Criquet du lac Huron",,,,,,,,,,7,,,,,1297,2,B1ab(iii)+2ab(iii),2015-11-26,Threatened/Menacée,2021-08-12,https://species-registry.canada.ca/index-en.html#/species/1297-947,IIORT36010,ELEMENT_GLOBAL.2.114849,114849,G4,2023-04-10,N2,2022-12-07,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114849,Terrestrial,N,ON,Ontario,Ontario,,,,,,,,,Threatened,"Not Evaluated (NE)","ON175, "
187,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,Species,"Toxolasma parvum",Lilliput,"Toxolasme nain",,,,,,,,189193,1920883,5,,2012-03-12,Unknown,https://www.iucnredlist.org/species/189193/1920883,1236,1,B2ab(iii),2013-05-03,"Endangered/En voie de disparition",2019-08-08,https://species-registry.canada.ca/index-en.html#/species/1236-901,IMBIV43050,ELEMENT_GLOBAL.2.113961,113961,G5,2024-01-10,N1,2022-09-18,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113961,Freshwater,N,ON,Ontario,Ontario,,,,,,,,,Endangered,"Least Concern (LC)","ON189, ON194, "
186,,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Invertebrates,Population,"Quadrula quadrula pop. 2","Mapleleaf Mussel","Mulette feuille d'érable",,,"Great Lakes - Upper St. Lawrence population","population des Grands Lacs et du haut Saint-Laurent",,,,,,7,,,,,933,3,,2016-11-27,"Special Concern/Préoccupante",2013-03-08,,IMBIV39122,ELEMENT_GLOBAL.2.793174,793174,G5T2Q,2006-05-11,N2,2006-05-11,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.793174,Freshwater,N,ON,Ontario,Ontario,,,,,,,,,"Special Concern","Not Evaluated (NE)","ON189, ON180, "
